source,source_record_id,source_reference,amount_minor,currency,event_time,transaction_type,status,payment_id,order_id,settlement_id,utr,fee_minor,tax_minor,adjustment_minor
bank,BANK-1198,UTR-82197,26632,INR,2026-08-21T13:01:00Z,credit,credited,,,SETL_298,UTR82197,0,0,0
bank,BANK-1058,UTR-82057,134528,INR,2026-08-22T16:09:00Z,credit,credited,,,SETL_158,UTR82057,0,0,0
bank,BANK-1317,NEFT85016,4515426,INR,2026-08-16T11:55:00Z,credit,credited,,,SETL_417,NEFT85016,0,0,0
bank,BANK-1429,UTR-93013,16596,INR,2026-08-13T17:49:00Z,credit,credited,,,SETL_529,UTR93013,0,0,0
bank,BANK-1143,UTR-82142,776013,INR,2026-08-28T16:02:00Z,credit,credited,,,SETL_243,UTR82142,0,0,0
bank,BANK-1017,UTR-82016,4653272,INR,2026-08-15T13:14:00Z,credit,credited,,,SETL_117,UTR82016,0,0,0
bank,BANK-1280,UTR-82279,66042,INR,2026-08-19T19:31:00Z,credit,credited,,,SETL_380,UTR82279,0,0,0
bank,BANK-1461,UTR-95010A,327925,INR,2026-08-25T09:52:00Z,credit,credited,,,SETL_561,UTR95010A,0,0,0
bank,BANK-1111,UTR-82110,383216,INR,2026-08-11T20:29:00Z,credit,credited,,,SETL_211,UTR82110,0,0,0
bank,BANK-1132,UTR-82131,131058,INR,2026-08-26T12:44:00Z,credit,credited,,,SETL_232,UTR82131,0,0,0
bank,BANK-1120,UTR-82119,319182,INR,2026-08-12T19:37:00Z,credit,credited,,,SETL_220,UTR82119,0,0,0
bank,BANK-1483,UTR-95021A,270496,INR,2026-08-06T12:26:00Z,credit,credited,,,SETL_583,UTR95021A,0,0,0
bank,BANK-1469,UTR-95014A,1613685,INR,2026-08-04T20:23:00Z,credit,credited,,,SETL_569,UTR95014A,0,0,0
bank,BANK-1189,UTR-82188,3828724,INR,2026-08-16T17:47:00Z,credit,credited,,,SETL_289,UTR82188,0,0,0
bank,BANK-1345,NEFT85044,4267614,INR,2026-08-11T17:30:00Z,credit,credited,,,SETL_445,NEFT85044,0,0,0
bank,BANK-1136,UTR-82135,2895867,INR,2026-08-13T19:25:00Z,credit,credited,,,SETL_236,UTR82135,0,0,0
bank,BANK-1035,UTR-82034,531313,INR,2026-08-26T08:43:00Z,credit,credited,,,SETL_135,UTR82034,0,0,0
bank,BANK-1405,UTR-91014,305609,INR,2026-08-16T08:36:00Z,credit,credited,,,SETL_505,UTR91014,0,0,0
bank,BANK-1144,UTR-82143,419653,INR,2026-08-06T20:25:00Z,credit,credited,,,SETL_244,UTR82143,0,0,0
bank,BANK-1306,NEFT85005,1667018,INR,2026-08-21T10:10:00Z,credit,credited,,,SETL_406,NEFT85005,0,0,0
