source,source_record_id,source_reference,amount_minor,currency,event_time,transaction_type,status,payment_id,order_id,settlement_id,utr,fee_minor,tax_minor,adjustment_minor
ledger,LED-1166,payment_93000,3614139,INR,2026-08-22T09:54:00Z,payment,posted,pay_0001176,order_fee_0,SETL_266,,72382,13010,0
ledger,LED-1081,payment_82080,74799,INR,2026-08-22T19:00:00Z,payment,posted,pay_0001081,order_0000080,SETL_181,,0,0,0
ledger,LED-1069,payment_82068,3542624,INR,2026-08-05T14:57:00Z,payment,posted,pay_0001069,order_0000068,SETL_169,,0,0,0
ledger,LED-1001,payment_82000,1104902,INR,2026-08-10T11:14:00Z,payment,posted,pay_0001001,order_0000000,SETL_101,,0,0,0
ledger,LED-1148,payment_88007,192337,INR,2026-08-12T09:49:00Z,payment,posted,pay_0001148,order_drift_7,SETL_248,,0,0,0
ledger,LED-1104,payment_82103,61990,INR,2026-08-20T19:53:00Z,payment,posted,pay_0001104,order_0000103,SETL_204,,0,0,0
ledger,LED-1100,payment_82099,95426,INR,2026-08-09T11:53:00Z,payment,posted,pay_0001100,order_0000099,SETL_200,,0,0,0
ledger,LED-1007,payment_82006,2442654,INR,2026-08-10T20:02:00Z,payment,posted,pay_0001007,order_0000006,SETL_107,,0,0,0
ledger,LED-1028,payment_82027,4167811,INR,2026-08-24T11:45:00Z,payment,posted,pay_0001028,order_0000027,SETL_128,,0,0,0
ledger,LED-1046,payment_82045,2758356,INR,2026-08-20T17:33:00Z,payment,posted,pay_0001046,order_0000045,SETL_146,,0,0,0
ledger,LED-1062,payment_82061,1752293,INR,2026-08-12T20:59:00Z,payment,posted,pay_0001062,order_0000061,SETL_162,,0,0,0
ledger,LED-1090,payment_82089,316881,INR,2026-08-14T22:49:00Z,payment,posted,pay_0001090,order_0000089,SETL_190,,0,0,0
ledger,LED-1072,payment_82071,2297233,INR,2026-08-15T13:25:00Z,payment,posted,pay_0001072,order_0000071,SETL_172,,0,0,0
ledger,LED-1037,payment_82036,570405,INR,2026-08-07T12:29:00Z,payment,posted,pay_0001037,order_0000036,SETL_137,,0,0,0
ledger,LED-1009,payment_82008,85674,INR,2026-08-03T18:14:00Z,payment,posted,pay_0001009,order_0000008,SETL_109,,0,0,0
ledger,LED-1101,payment_82100,91439,INR,2026-08-17T18:07:00Z,payment,posted,pay_0001101,order_0000100,SETL_201,,0,0,0
ledger,LED-1144,payment_88003,85529,INR,2026-08-17T16:41:00Z,payment,posted,pay_0001144,order_drift_3,SETL_244,,0,0,0
ledger,LED-1198,payment_99002,50000,INR,2026-08-23T19:44:00Z,payment,posted,,order_ambig_2,,,0,0,0
ledger,LED-1027,payment_82026,2993478,INR,2026-08-07T12:33:00Z,payment,posted,pay_0001027,order_0000026,SETL_127,,0,0,0
ledger,LED-1126,TXN-85005,72616,INR,2026-08-14T15:04:00Z,payment,posted,pay_0001126,order_ref_5,SETL_226,,0,0,0
ledger,LED-1137,TXN-85016,91927,INR,2026-08-15T09:34:00Z,payment,posted,pay_0001137,order_ref_16,SETL_237,,0,0,0
ledger,LED-1035,payment_82034,544154,INR,2026-08-25T08:43:00Z,payment,posted,pay_0001035,order_0000034,SETL_135,,0,0,0
ledger,LED-1116,payment_82115,2696181,INR,2026-08-09T12:42:00Z,payment,posted,pay_0001116,order_0000115,SETL_216,,0,0,0
ledger,LED-1096,payment_82095,21003,INR,2026-08-16T10:03:00Z,payment,posted,pay_0001096,order_0000095,SETL_196,,0,0,0
ledger,LED-1105,payment_82104,831059,INR,2026-08-23T17:51:00Z,payment,posted,pay_0001105,order_0000104,SETL_205,,0,0,0
ledger,LED-1086,payment_82085,4212055,INR,2026-08-17T18:15:00Z,payment,posted,pay_0001086,order_0000085,SETL_186,,0,0,0
ledger,LED-1141,payment_88000,3099132,INR,2026-08-17T15:05:00Z,payment,posted,pay_0001141,order_drift_0,SETL_241,,0,0,0
ledger,LED-1093,payment_82092,330080,INR,2026-08-17T08:24:00Z,payment,posted,pay_0001093,order_0000092,SETL_193,,0,0,0
ledger,LED-1017,payment_82016,4765742,INR,2026-08-14T13:14:00Z,payment,posted,pay_0001017,order_0000016,SETL_117,,0,0,0
