source,source_record_id,source_reference,amount_minor,currency,event_time,transaction_type,status,payment_id,order_id,settlement_id,utr,fee_minor,tax_minor,adjustment_minor
razorpay,pay_0001040,PAY-82039,38016,INR,2026-08-07T14:00:00Z,payment,captured,pay_0001040,order_0000039,SETL_140,,760,136,0
razorpay,pay_0001050,PAY-82049,378082,INR,2026-08-04T22:15:00Z,payment,captured,pay_0001050,order_0000049,SETL_150,,7561,1360,0
razorpay,pay_0001205,PAY-99004_2,50000,INR,2026-08-22T13:53:00Z,payment,captured,pay_0001205,order_ambig_4,SETL_305,,1000,180,0
razorpay,pay_0001094,PAY-82093,812131,INR,2026-08-25T10:53:00Z,payment,captured,pay_0001094,order_0000093,SETL_194,,16242,2923,0
razorpay,pay_0001127,PAY-85006,85631,INR,2026-08-06T10:51:00Z,payment,captured,pay_0001127,order_ref_6,SETL_227,,1712,308,0
razorpay,pay_0001002,PAY-82001,4106585,INR,2026-08-04T17:27:00Z,payment,captured,pay_0001002,order_0000001,SETL_102,,82131,14783,0
razorpay,pay_0001152,PAY-88011,1121087,INR,2026-08-21T20:15:00Z,payment,captured,pay_0001152,order_drift_11,SETL_252,,22421,4035,0
razorpay,pay_0001003,PAY-82002,13905,INR,2026-08-18T17:01:00Z,payment,captured,pay_0001003,order_0000002,SETL_103,,278,50,0
razorpay,pay_0001169,PAY-91006,433632,INR,2026-08-24T22:58:00Z,payment,captured,pay_0001169,order_dup_6,SETL_262,,8672,1560,0
razorpay,pay_0001067,PAY-82066,984642,INR,2026-08-02T09:56:00Z,payment,captured,pay_0001067,order_0000066,SETL_167,,19692,3544,0
razorpay,pay_0001189,PAY-95003,96275,INR,2026-08-20T21:43:00Z,payment,captured,pay_0001189,order_partial_3,"SETL_282,SETL_283",,1925,346,0
razorpay,pay_0001035,PAY-82034,544154,INR,2026-08-25T08:43:00Z,payment,captured,pay_0001035,order_0000034,SETL_135,,10883,1958,0
razorpay,pay_0001064,PAY-82063,140605,INR,2026-08-09T11:52:00Z,payment,captured,pay_0001064,order_0000063,SETL_164,,2812,506,0
razorpay,pay_0001066,PAY-82065,62227,INR,2026-08-26T12:22:00Z,payment,captured,pay_0001066,order_0000065,SETL_166,,1244,223,0
razorpay,pay_0001147,PAY-88006,531641,INR,2026-08-11T18:25:00Z,payment,captured,pay_0001147,order_drift_6,SETL_247,,10632,1913,0
razorpay,pay_0001202,PAY-99003,50000,INR,2026-08-20T20:46:00Z,payment,captured,pay_0001202,order_ambig_3,SETL_302,,1000,180,0
razorpay,pay_0001047,PAY-82046,3809034,INR,2026-08-12T11:16:00Z,payment,captured,pay_0001047,order_0000046,SETL_147,,76180,13712,0
razorpay,pay_0001154,PAY-88013,70482,INR,2026-08-17T22:45:00Z,payment,captured,pay_0001154,order_drift_13,SETL_254,,1409,253,0
razorpay,pay_0001161,PAY-91002,960408,INR,2026-08-25T13:03:00Z,payment,captured,pay_0001161,order_dup_2,SETL_258,,19208,3457,0
razorpay,pay_0001185,PAY-93009,3842106,INR,2026-08-04T15:22:00Z,payment,captured,pay_0001185,order_fee_9,SETL_275,,76842,13831,-30
razorpay,pay_0001021,PAY-82020,456699,INR,2026-08-15T10:29:00Z,payment,captured,pay_0001021,order_0000020,SETL_121,,9133,1643,0
razorpay,pay_0001081,PAY-82080,74799,INR,2026-08-22T19:00:00Z,payment,captured,pay_0001081,order_0000080,SETL_181,,1495,269,0
razorpay,pay_0001123,PAY-85002,2225309,INR,2026-08-06T18:55:00Z,payment,captured,pay_0001123,order_ref_2,SETL_223,,44506,8011,0
razorpay,pay_0001182,PAY-93006,64008,INR,2026-08-07T09:39:00Z,payment,captured,pay_0001182,order_fee_6,SETL_272,,1280,230,-29
razorpay,pay_0001193,PAY-95007,1407535,INR,2026-08-22T08:19:00Z,payment,captured,pay_0001193,order_partial_7,"SETL_290,SETL_291",,28150,5067,0
razorpay,pay_0001195,PAY-95009,442589,INR,2026-08-07T11:08:00Z,payment,captured,pay_0001195,order_partial_9,"SETL_294,SETL_295",,8851,1593,0
razorpay,pay_0001051,PAY-82050,2837879,INR,2026-08-24T12:39:00Z,payment,captured,pay_0001051,order_0000050,SETL_151,,56757,10216,0
razorpay,pay_0001146,PAY-88005,464863,INR,2026-08-12T18:06:00Z,payment,captured,pay_0001146,order_drift_5,SETL_246,,9297,1673,0
razorpay,pay_0001106,PAY-82105,920652,INR,2026-08-19T14:42:00Z,payment,captured,pay_0001106,order_0000105,SETL_206,,18413,3314,0
razorpay,pay_0001025,PAY-82024,217301,INR,2026-08-11T11:03:00Z,payment,captured,pay_0001025,order_0000024,SETL_125,,4346,782,0
razorpay,pay_0001046,PAY-82045,2758356,INR,2026-08-20T17:33:00Z,payment,captured,pay_0001046,order_0000045,SETL_146,,55167,9930,0
razorpay,pay_0001070,PAY-82069,146542,INR,2026-08-02T16:59:00Z,payment,captured,pay_0001070,order_0000069,SETL_170,,2930,527,0
razorpay,pay_0001101,PAY-82100,91439,INR,2026-08-17T18:07:00Z,payment,captured,pay_0001101,order_0000100,SETL_201,,1828,329,0
razorpay,pay_0001074,PAY-82073,696750,INR,2026-08-19T21:00:00Z,payment,captured,pay_0001074,order_0000073,SETL_174,,13935,2508,0
razorpay,pay_0001091,PAY-82090,85456,INR,2026-08-13T12:48:00Z,payment,captured,pay_0001091,order_0000090,SETL_191,,1709,307,0
razorpay,pay_0001031,PAY-82030,87128,INR,2026-08-24T18:03:00Z,payment,captured,pay_0001031,order_0000030,SETL_131,,1742,313,0
razorpay,pay_0001198,PAY-99001,50000,INR,2026-08-19T13:24:00Z,payment,captured,pay_0001198,order_ambig_1,SETL_298,,1000,180,0
razorpay,pay_0001128,PAY-85007,83772,INR,2026-08-05T16:48:00Z,payment,captured,pay_0001128,order_ref_7,SETL_228,,1675,301,0
razorpay,pay_0001073,PAY-82072,233470,INR,2026-08-23T14:43:00Z,payment,captured,pay_0001073,order_0000072,SETL_173,,4669,840,0
razorpay,pay_0001037,PAY-82036,570405,INR,2026-08-07T12:29:00Z,payment,captured,pay_0001037,order_0000036,SETL_137,,11408,2053,0
razorpay,pay_0001162,PAY-91003,86011,INR,2026-08-16T16:30:00Z,payment,captured,pay_0001162,order_dup_3,SETL_259,,1720,309,0
razorpay,pay_0001100,PAY-82099,95426,INR,2026-08-09T11:53:00Z,payment,captured,pay_0001100,order_0000099,SETL_200,,1908,343,0
razorpay,pay_0001087,PAY-82086,181247,INR,2026-08-09T12:21:00Z,payment,captured,pay_0001087,order_0000086,SETL_187,,3624,652,0
razorpay,pay_0001039,PAY-82038,22224,INR,2026-08-07T14:31:00Z,payment,captured,pay_0001039,order_0000038,SETL_139,,444,79,0
razorpay,pay_0001110,PAY-82109,4463381,INR,2026-08-20T12:20:00Z,payment,captured,pay_0001110,order_0000109,SETL_210,,89267,16068,0
razorpay,pay_0001137,PAY-85016,91927,INR,2026-08-15T09:34:00Z,payment,captured,pay_0001137,order_ref_16,SETL_237,,1838,330,0
razorpay,pay_0001175,PAY-91009,857537,INR,2026-08-22T10:12:00Z,payment,captured,pay_0001175,order_dup_9,SETL_265,,17150,3087,0
razorpay,pay_0001180,PAY-93004,1697784,INR,2026-08-02T08:20:00Z,payment,captured,pay_0001180,order_fee_4,SETL_270,,33955,6111,-12
razorpay,pay_0001023,PAY-82022,93748,INR,2026-08-06T13:48:00Z,payment,captured,pay_0001023,order_0000022,SETL_123,,1874,337,0
razorpay,pay_0001027,PAY-82026,2993478,INR,2026-08-07T12:33:00Z,payment,captured,pay_0001027,order_0000026,SETL_127,,59869,10776,0
razorpay,pay_0001126,PAY-85005,72616,INR,2026-08-14T15:04:00Z,payment,captured,pay_0001126,order_ref_5,SETL_226,,1452,261,0
razorpay,pay_0001043,PAY-82042,1210312,INR,2026-08-17T16:58:00Z,payment,captured,pay_0001043,order_0000042,SETL_143,,24206,4357,0
razorpay,pay_0001022,PAY-82021,44522,INR,2026-08-18T22:06:00Z,payment,captured,pay_0001022,order_0000021,SETL_122,,890,160,0
razorpay,pay_0001104,PAY-82103,61990,INR,2026-08-20T19:53:00Z,payment,captured,pay_0001104,order_0000103,SETL_204,,1239,223,0
razorpay,pay_0001119,PAY-82118,1501448,INR,2026-08-19T20:44:00Z,payment,captured,pay_0001119,order_0000118,SETL_219,,30028,5405,0
razorpay,pay_0001097,PAY-82096,443254,INR,2026-08-12T13:48:00Z,payment,captured,pay_0001097,order_0000096,SETL_197,,8865,1595,0
razorpay,pay_0001125,PAY-85004,72746,INR,2026-08-03T12:55:00Z,payment,captured,pay_0001125,order_ref_4,SETL_225,,1454,261,0
